0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
2,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
2,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
2,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
2,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
2,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
3,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
3,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
3,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
3,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
3,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
0,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
0,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
0,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
0,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
0,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
0,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
0,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
2,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
2,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
2,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
2,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
2,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
3,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
3,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
3,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
3,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
3,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
